episode,score,total_score,eval_score,d2qn_score,d2qn_total_score,d2qn_eval_score
167,15,2237,115.1,13,2137,115.08
168,13,2250,115.1,12,2149,115.08
169,13,2263,115.1,10,2159,115.08
170,20,2283,115.11,15,2174,115.09
171,12,2295,115.11,28,2202,115.09
172,19,2314,115.12,10,2212,115.09
173,13,2327,115.12,13,2225,115.1
174,19,2346,115.12,13,2238,115.1
175,16,2362,115.13,12,2250,115.1
176,14,2376,115.13,11,2261,115.1
177,10,2386,115.13,14,2275,115.11
178,16,2402,115.13,11,2286,115.11
179,13,2415,115.14,14,2300,115.11
180,20,2435,115.14,10,2310,115.11
181,20,2455,115.14,11,2321,115.12
182,16,2471,115.15,15,2336,115.12
183,14,2485,115.15,11,2347,115.12
184,13,2498,115.15,19,2366,115.13
185,17,2515,115.16,13,2379,115.13
186,14,2529,115.16,15,2394,115.13
187,22,2551,115.16,16,2410,115.14
188,15,2566,115.17,12,2422,115.14
189,17,2583,115.17,19,2441,115.14
190,14,2597,115.17,25,2466,115.15
191,15,2612,115.18,9,2475,115.15
192,18,2630,115.18,10,2485,115.15
193,18,2648,115.18,8,2493,115.15
194,15,2663,115.19,10,2503,115.15
195,18,2681,115.19,11,2514,115.16
196,16,2697,115.19,19,2533,115.16
197,25,2722,115.2,14,2547,115.16
198,20,2742,115.2,16,2563,115.17
199,18,2760,115.21,17,2580,115.17
200,19,2779,115.21,14,2594,115.17
201,19,2798,115.22,14,2608,115.18
202,20,2818,115.22,14,2622,115.18
203,28,2846,115.23,10,2632,115.18
204,50,2896,115.24,14,2646,115.18
205,25,2921,115.24,14,2660,115.19
206,44,2965,115.25,21,2681,115.19
207,25,2990,115.26,14,2695,115.19
208,30,3020,115.26,22,2717,115.2
209,19,3039,115.27,64,2781,115.21
210,17,3056,115.27,12,2793,115.21
211,9,3065,115.27,10,2803,115.22
212,14,3079,115.27,10,2813,115.22
213,26,3105,115.28,13,2826,115.22
214,18,3123,115.28,15,2841,115.22
215,10,3133,115.28,11,2852,115.23
216,21,3154,115.29,11,2863,115.23
217,12,3166,115.29,12,2875,115.23
218,9,3175,115.29,13,2888,115.23
219,13,3188,115.3,28,2916,115.24
220,10,3198,115.3,11,2927,115.24
221,13,3211,115.3,15,2942,115.25
222,12,3223,115.3,33,2975,115.25
223,9,3232,115.31,19,2994,115.26
224,10,3242,115.31,10,3004,115.26
225,11,3253,115.31,12,3016,115.26
226,10,3263,115.31,11,3027,115.26
227,10,3273,115.31,13,3040,115.27
228,9,3282,115.32,17,3057,115.27
229,16,3298,115.32,11,3068,115.27
230,10,3308,115.32,18,3086,115.28
231,18,3326,115.32,25,3111,115.28
232,9,3335,115.33,14,3125,115.28
233,8,3343,115.33,10,3135,115.29
234,9,3352,115.33,19,3154,115.29
235,23,3375,115.34,9,3163,115.29
236,11,3386,115.34,21,3184,115.3
237,12,3398,115.34,9,3193,115.3
238,10,3408,115.34,10,3203,115.3
239,10,3418,115.34,12,3215,115.3
240,12,3430,115.35,13,3228,115.3
241,10,3440,115.35,9,3237,115.31
242,8,3448,115.35,9,3246,115.31
243,13,3461,115.35,9,3255,115.31
244,13,3474,115.36,11,3266,115.31
245,9,3483,115.36,13,3279,115.32
246,11,3494,115.36,10,3289,115.32
247,10,3504,115.36,14,3303,115.32
248,11,3515,115.36,13,3316,115.32
249,24,3539,115.37,13,3329,115.33
250,15,3554,115.37,12,3341,115.33
251,11,3565,115.37,10,3351,115.33
252,13,3578,115.38,13,3364,115.33
253,11,3589,115.38,10,3374,115.33
254,11,3600,115.38,9,3383,115.34
255,12,3612,115.38,16,3399,115.34
256,12,3624,115.39,18,3417,115.34
257,9,3633,115.39,10,3427,115.35
258,10,3643,115.39,10,3437,115.35
259,9,3652,115.39,9,3446,115.35
260,9,3661,115.39,12,3458,115.35
261,12,3673,115.4,13,3471,115.35
262,12,3685,115.4,10,3481,115.36
263,11,3696,115.4,10,3491,115.36
264,9,3705,115.4,12,3503,115.36
265,10,3715,115.41,16,3519,115.36
266,9,3724,115.41,10,3529,115.37
267,10,3734,115.41,11,3540,115.37
268,11,3745,115.41,15,3555,115.37
269,14,3759,115.41,8,3563,115.37
270,17,3776,115.42,10,3573,115.38
271,20,3796,115.42,10,3583,115.38
272,26,3822,115.43,10,3593,115.38
273,24,3846,115.43,16,3609,115.38
274,26,3872,115.44,10,3619,115.39
275,21,3893,115.44,14,3633,115.39
276,22,3915,115.45,12,3645,115.39
277,20,3935,115.45,10,3655,115.39
278,21,3956,115.46,17,3672,115.4
279,28,3984,115.46,10,3682,115.4
280,47,4031,115.47,10,3692,115.4
281,60,4091,115.48,12,3704,115.4
282,23,4114,115.49,10,3714,115.41
283,23,4137,115.49,9,3723,115.41
284,27,4164,115.5,11,3734,115.41
285,21,4185,115.5,11,3745,115.41
286,20,4205,115.51,10,3755,115.41
287,25,4230,115.51,18,3773,115.42
288,18,4248,115.52,9,3782,115.42
289,21,4269,115.52,8,3790,115.42
290,17,4286,115.52,10,3800,115.42
291,15,4301,115.53,10,3810,115.43
292,18,4319,115.53,9,3819,115.43
293,15,4334,115.53,10,3829,115.43
294,21,4355,115.54,10,3839,115.43
295,20,4375,115.54,14,3853,115.43
296,13,4388,115.54,10,3863,115.44
297,13,4401,115.55,11,3874,115.44
298,20,4421,115.55,10,3884,115.44
299,9,4430,115.55,9,3893,115.44
300,12,4442,115.56,12,3905,115.44
301,13,4455,115.56,15,3920,115.45
302,9,4464,115.56,13,3933,115.45
303,15,4479,115.56,8,3941,115.45
304,10,4489,115.57,14,3955,115.46
305,11,4500,115.57,9,3964,115.46
306,9,4509,115.57,9,3973,115.46
307,11,4520,115.57,13,3986,115.46
308,11,4531,115.57,10,3996,115.46
309,10,4541,115.58,12,4008,115.47
310,16,4557,115.58,12,4020,115.47
311,13,4570,115.58,11,4031,115.47
312,11,4581,115.58,11,4042,115.47
313,11,4592,115.59,11,4053,115.48
314,10,4602,115.59,11,4064,115.48
315,8,4610,115.59,11,4075,115.48
316,9,4619,115.59,10,4085,115.48
317,15,4634,115.6,10,4095,115.48
318,10,4644,115.6,10,4105,115.49
319,11,4655,115.6,13,4118,115.49
320,21,4676,115.6,12,4130,115.49
321,12,4688,115.61,10,4140,115.49
322,8,4696,115.61,14,4154,115.5
323,10,4706,115.61,10,4164,115.5
324,16,4722,115.61,11,4175,115.5
325,9,4731,115.62,13,4188,115.5
326,11,4742,115.62,11,4199,115.51
327,11,4753,115.62,12,4211,115.51
328,9,4762,115.62,13,4224,115.51
329,12,4774,115.62,11,4235,115.51
330,9,4783,115.63,11,4246,115.52
331,11,4794,115.63,12,4258,115.52
332,14,4808,115.63,10,4268,115.52
333,12,4820,115.63,9,4277,115.52
334,9,4829,115.64,12,4289,115.52
335,9,4838,115.64,11,4300,115.53
336,13,4851,115.64,17,4317,115.53
337,14,4865,115.64,10,4327,115.53
338,15,4880,115.65,11,4338,115.53
339,10,4890,115.65,13,4351,115.54
340,13,4903,115.65,15,4366,115.54
341,14,4917,115.65,13,4379,115.54
342,13,4930,115.66,10,4389,115.54
343,22,4952,115.66,13,4402,115.55
344,13,4965,115.66,10,4412,115.55
345,14,4979,115.67,15,4427,115.55
346,18,4997,115.67,13,4440,115.56
347,19,5016,115.67,16,4456,115.56
348,18,5034,115.68,12,4468,115.56
349,14,5048,115.68,18,4486,115.56
350,22,5070,115.69,25,4511,115.57
351,28,5098,115.69,21,4532,115.57
352,63,5161,115.7,39,4571,115.58
353,27,5188,115.71,19,4590,115.59
354,21,5209,115.71,18,4608,115.59
355,24,5233,115.72,16,4624,115.59
356,40,5273,115.73,13,4637,115.6
357,185,5458,115.77,11,4648,115.6
358,23,5481,115.77,13,4661,115.6
359,27,5508,115.78,11,4672,115.6
360,67,5575,115.79,12,4684,115.61
361,22,5597,115.79,15,4699,115.61
362,21,5618,115.8,14,4713,115.61
363,16,5634,115.8,16,4729,115.62
364,20,5654,115.81,12,4741,115.62
365,10,5664,115.81,12,4753,115.62
366,22,5686,115.81,13,4766,115.62
367,23,5709,115.82,13,4779,115.63
368,33,5742,115.82,17,4796,115.63
369,13,5755,115.83,9,4805,115.63
370,19,5774,115.83,12,4817,115.63
371,15,5789,115.83,10,4827,115.64
372,18,5807,115.84,12,4839,115.64
373,23,5830,115.84,10,4849,115.64
374,13,5843,115.85,14,4863,115.64
375,15,5858,115.85,14,4877,115.65
376,24,5882,115.85,9,4886,115.65
377,16,5898,115.86,11,4897,115.65
378,16,5914,115.86,10,4907,115.65
379,21,5935,115.86,8,4915,115.65
380,25,5960,115.87,9,4924,115.66
381,15,5975,115.87,13,4937,115.66
382,18,5993,115.88,10,4947,115.66
383,18,6011,115.88,13,4960,115.66
384,25,6036,115.89,9,4969,115.66
385,26,6062,115.89,8,4977,115.67
386,36,6098,115.9,10,4987,115.67
387,53,6151,115.91,12,4999,115.67
388,35,6186,115.92,10,5009,115.67
389,105,6291,115.94,11,5020,115.68
390,29,6320,115.94,9,5029,115.68
391,40,6360,115.95,10,5039,115.68
392,49,6409,115.96,10,5049,115.68
393,42,6451,115.97,10,5059,115.68
394,76,6527,115.99,11,5070,115.69
395,53,6580,116,10,5080,115.69
396,49,6629,116.01,9,5089,115.69
397,45,6674,116.02,11,5100,115.69
398,41,6715,116.03,10,5110,115.69
399,37,6752,116.03,9,5119,115.7
400,91,6843,116.05,10,5129,115.7
401,36,6879,116.06,10,5139,115.7
402,47,6926,116.07,14,5153,115.7
403,32,6958,116.08,12,5165,115.71
404,42,7000,116.08,9,5174,115.71
405,24,7024,116.09,10,5184,115.71
406,25,7049,116.1,10,5194,115.71
407,30,7079,116.1,10,5204,115.71
408,21,7100,116.11,9,5213,115.72
409,30,7130,116.11,9,5222,115.72
410,37,7167,116.12,9,5231,115.72
411,34,7201,116.13,11,5242,115.72
412,85,7286,116.14,11,5253,115.72
413,27,7313,116.15,9,5262,115.73
414,26,7339,116.16,10,5272,115.73
415,66,7405,116.17,11,5283,115.73
416,66,7471,116.18,15,5298,115.73
417,58,7529,116.19,10,5308,115.73
418,79,7608,116.21,9,5317,115.74
419,63,7671,116.22,9,5326,115.74
420,65,7736,116.24,12,5338,115.74
421,38,7774,116.25,13,5351,115.74
422,113,7887,116.27,11,5362,115.75
423,43,7930,116.28,10,5372,115.75
424,28,7958,116.28,9,5381,115.75
425,42,8000,116.29,13,5394,115.75
426,26,8026,116.3,11,5405,115.76
427,43,8069,116.31,16,5421,115.76
428,35,8104,116.31,11,5432,115.76
429,54,8158,116.32,14,5446,115.76
430,44,8202,116.33,13,5459,115.77
431,57,8259,116.35,11,5470,115.77
432,40,8299,116.35,13,5483,115.77
433,37,8336,116.36,10,5493,115.77
434,41,8377,116.37,13,5506,115.78
435,41,8418,116.38,14,5520,115.78
436,27,8445,116.38,10,5530,115.78
437,67,8512,116.4,10,5540,115.78
438,41,8553,116.41,12,5552,115.79
439,34,8587,116.41,18,5570,115.79
440,39,8626,116.42,9,5579,115.79
441,60,8686,116.43,13,5592,115.79
442,37,8723,116.44,11,5603,115.8
443,41,8764,116.45,12,5615,115.8
444,27,8791,116.46,11,5626,115.8
445,32,8823,116.46,9,5635,115.8
446,35,8858,116.47,14,5649,115.81
447,44,8902,116.48,10,5659,115.81
448,34,8936,116.49,10,5669,115.81
449,34,8970,116.49,13,5682,115.81
450,33,9003,116.5,13,5695,115.82
451,38,9041,116.51,13,5708,115.82
452,103,9144,116.53,16,5724,115.82
453,36,9180,116.54,16,5740,115.82
454,46,9226,116.55,14,5754,115.83
455,35,9261,116.55,11,5765,115.83
456,46,9307,116.56,16,5781,115.83
457,47,9354,116.57,15,5796,115.84
458,59,9413,116.58,15,5811,115.84
459,51,9464,116.59,20,5831,115.84
460,48,9512,116.6,19,5850,115.85
461,42,9554,116.61,16,5866,115.85
462,85,9639,116.63,13,5879,115.85
463,45,9684,116.64,19,5898,115.86
464,47,9731,116.65,22,5920,115.86
